Id;Sexo;Edad;NivelEduca;CategoriaLab;SalarioActual;SalarioInicial;Antigüedad;ExpPrevia;Minoria 
1;h;53;15;3;57,000 ;27,000 ;98;144;0
2;h;47;16;1;40,200 ;18,750 ;98;36;0
3;m;76;12;1;21,450 ;12,000 ;98;381;0
4;m;58;8;1;21,900 ;13,200 ;98;190;0
5;h;50;15;1;45,000 ;21,000 ;98;138;0
6;h;47;15;1;32,100 ;13,500 ;98;67;0
7;h;49;15;1;36,000 ;18,750 ;98;114;0
8;m;39;12;1;21,900 ;9,750 ;98;0;0
9;m;59;15;1;27,900 ;12,750 ;98;115;0
10;m;59;12;1;24,000 ;13,500 ;98;244;0
11;m;55;16;1;30,300 ;16,500 ;98;143;0
12;h;39;8;1;28,350 ;12,000 ;98;26;1
13;h;45;15;1;27,750 ;14,250 ;98;34;1
14;m;56;15;1;35,100 ;16,800 ;98;137;1
15;h;43;12;1;27,300 ;13,500 ;97;66;0
16;h;41;12;1;40,800 ;15,000 ;97;24;0
17;h;43;15;1;46,000 ;14,250 ;97;48;0
18;h;49;16;3;103,750 ;27,510 ;97;70;0
19;h;43;12;1;42,300 ;14,250 ;97;103;0
20;m;65;12;1;26,250 ;11,550 ;97;48;0
21;m;42;16;1;38,850 ;15,000 ;97;17;0
22;h;65;12;1;21,750 ;12,750 ;97;315;1
23;m;40;15;1;24,000 ;11,100 ;97;75;1
24;m;72;12;1;16,950 ;9,000 ;97;124;1
25;m;63;15;1;21,150 ;9,000 ;97;171;1
26;h;39;15;1;31,050 ;12,600 ;96;14;0
27;h;51;19;3;60,375 ;27,480 ;96;96;0
28;h;42;15;1;32,550 ;14,250 ;96;43;0
29;h;61;19;3;135,000 ;79,980 ;96;199;0
30;h;44;15;1;31,200 ;14,250 ;96;54;0
31;h;41;12;1;36,150 ;14,250 ;96;83;0
32;h;51;19;3;110,625 ;45,000 ;96;120;0
33;h;44;15;1;42,000 ;15,000 ;96;68;0
34;h;56;19;3;92,000 ;39,990 ;96;175;0
35;h;44;17;3;81,250 ;30,000 ;96;18;0
36;m;42;8;1;31,350 ;11,250 ;96;52;0
37;h;51;12;1;29,100 ;13,500 ;96;113;1
38;h;43;15;1;31,350 ;15,000 ;96;49;1
39;h;45;16;1;36,000 ;15,000 ;96;46;1
40;m;72;15;1;19,200 ;9,000 ;96;23;1
41;m;44;12;1;23,550 ;11,550 ;96;52;1
42;h;45;15;1;35,100 ;16,500 ;95;90;0
43;h;41;12;1;23,250 ;14,250 ;95;46;0
44;h;42;8;1;29,250 ;14,250 ;95;50;0
45;h;67;12;2;30,750 ;13,500 ;95;307;0
46;m;65;15;1;22,350 ;12,750 ;95;165;0
47;m;67;12;1;30,000 ;16,500 ;95;228;0
48;h;58;12;2;30,750 ;14,100 ;94;240;0
49;h;47;15;1;34,800 ;16,500 ;94;93;0
50;h;45;16;3;60,000 ;23,730 ;94;59;0
51;h;43;12;1;35,550 ;15,000 ;94;48;0
52;h;42;15;1;45,150 ;15,000 ;94;40;0
53;h;51;18;3;73,750 ;26,250 ;94;56;0
54;h;74;12;1;25,050 ;13,500 ;94;444;0
55;h;45;12;1;27,000 ;15,000 ;94;120;0
56;h;43;15;1;26,850 ;13,500 ;94;5;0
57;h;42;15;1;33,900 ;15,750 ;94;78;0
58;m;41;15;1;26,400 ;13,500 ;94;3;0
59;h;44;15;1;28,050 ;14,250 ;94;36;1
60;h;46;12;1;30,900 ;15,000 ;94;102;1
61;h;41;8;1;22,500 ;9,750 ;94;36;1
62;h;43;16;3;48,000 ;21,750 ;93;22;0
63;h;44;17;3;55,000 ;26,250 ;93;32;0
64;h;42;16;3;53,125 ;21,000 ;93;48;0
65;h;41;8;1;21,900 ;14,550 ;93;41;0
66;h;43;19;3;78,125 ;30,000 ;93;7;0
67;h;41;16;3;46,000 ;21,240 ;93;35;0
68;h;42;16;3;45,250 ;21,480 ;93;36;0
69;h;45;16;3;56,550 ;25,000 ;93;34;0
70;h;43;15;1;41,100 ;20,250 ;93;27;0
71;h;57;17;3;82,500 ;34,980 ;93;207;0
72;m;41;16;1;54,000 ;18,000 ;93;11;0
73;m;37;12;1;26,400 ;10,500 ;93;0;0
74;m;72;15;1;33,900 ;19,500 ;93;192;0
75;m;40;15;1;24,150 ;11,550 ;93;0;0
76;m;38;15;1;29,250 ;11,550 ;93;11;0
77;m;37;12;1;27,600 ;11,400 ;93;6;0
78;m;37;12;1;22,950 ;10,500 ;93;10;0
79;m;43;16;1;34,800 ;14,550 ;93;8;0
80;m;44;16;1;51,000 ;18,000 ;93;22;0
81;m;37;12;1;24,300 ;10,950 ;93;5;0
82;m;58;12;1;24,750 ;14,250 ;93;193;1
83;m;38;12;1;22,950 ;11,250 ;93;0;1
84;m;38;8;1;25,050 ;10,950 ;93;8;1
85;h;43;15;1;25,950 ;17,100 ;92;42;0
86;h;44;15;1;31,650 ;15,750 ;92;64;0
87;h;46;12;1;24,150 ;14,100 ;92;130;0
88;h;43;19;3;72,500 ;28,740 ;92;10;0
89;h;44;19;3;68,750 ;27,480 ;92;8;0
90;m;67;8;1;16,200 ;9,750 ;92;0;0
91;m;38;12;1;20,100 ;11,250 ;92;24;0
92;m;37;8;1;24,000 ;10,950 ;92;6;0
93;m;37;12;1;25,950 ;10,950 ;92;0;0
94;m;55;12;1;24,600 ;10,050 ;92;44;0
95;m;37;12;1;28,500 ;10,500 ;92;6;0
96;h;72;8;2;30,750 ;15,000 ;92;432;1
97;h;52;17;1;40,200 ;19,500 ;92;168;1
98;h;49;8;2;30,000 ;15,000 ;92;144;1
99;m;37;12;1;22,050 ;10,950 ;92;5;1
100;h;42;18;3;78,250 ;27,480 ;91;47;0
101;h;45;16;3;60,625 ;22,500 ;91;44;0
102;h;42;14;1;39,900 ;15,750 ;91;59;0
103;h;46;19;3;97,000 ;35,010 ;91;68;0
104;h;43;15;1;27,450 ;15,750 ;91;48;0
105;h;39;15;1;31,650 ;13,500 ;91;18;0
106;h;43;19;3;91,250 ;29,490 ;91;23;0
107;m;45;12;1;25,200 ;14,400 ;91;83;0
108;m;75;12;1;21,000 ;11,550 ;91;108;0
109;h;42;12;1;30,450 ;15,000 ;91;49;1
110;h;53;15;1;28,350 ;18,000 ;91;151;1
111;h;65;12;2;30,750 ;9,000 ;91;314;1
112;h;57;12;2;30,750 ;15,000 ;91;240;1
113;h;46;16;3;54,875 ;27,480 ;90;68;0
114;h;44;14;1;37,800 ;16,500 ;90;60;0
115;h;44;15;1;33,450 ;14,100 ;90;85;0
116;h;43;15;1;30,300 ;16,500 ;90;16;0
117;m;73;12;1;31,500 ;18,750 ;90;205;0
118;m;41;12;1;31,650 ;14,250 ;90;48;0
119;m;42;12;1;25,200 ;14,100 ;90;55;0
120;m;41;16;3;37,800 ;15,750 ;90;7;0
121;m;69;15;1;18,750 ;10,500 ;90;54;0
122;m;40;15;1;32,550 ;13,500 ;90;22;0
123;m;56;12;1;33,300 ;15,000 ;90;3;0
124;m;42;16;1;38,550 ;16,500 ;90;0;0
125;h;49;12;1;27,450 ;15,000 ;90;173;1
126;h;54;15;2;24,300 ;15,000 ;90;191;1
127;h;55;12;2;30,750 ;15,000 ;90;209;1
128;m;59;12;1;19,650 ;9,750 ;90;229;1
129;h;46;17;3;68,750 ;27,510 ;89;38;0
130;h;47;20;3;59,375 ;30,000 ;89;6;0
131;h;43;15;1;31,500 ;15,750 ;89;22;0
132;h;52;12;1;27,300 ;17,250 ;89;175;0
133;h;46;15;1;27,000 ;15,750 ;89;87;0
134;m;64;16;3;41,550 ;24,990 ;89;285;0
135;m;37;12;1;26,250 ;10,950 ;89;0;0
136;h;66;12;1;22,200 ;15,000 ;88;324;0
137;h;68;21;3;65,000 ;37,500 ;88;264;0
138;h;58;12;1;30,900 ;15,000 ;88;252;0
139;m;74;8;1;20,100 ;13,200 ;88;90;0
140;m;40;12;1;22,350 ;13,500 ;88;26;0
141;m;39;15;1;35,550 ;13,350 ;88;32;0
142;m;39;12;1;28,500 ;13,950 ;88;34;0
143;m;66;12;1;24,450 ;13,200 ;88;107;0
144;m;74;8;1;16,650 ;9,750 ;88;412;0
145;h;41;12;1;26,700 ;13,500 ;88;38;1
146;h;54;18;1;43,950 ;23,250 ;88;182;1
147;h;69;15;1;23,700 ;13,500 ;88;359;1
148;m;46;15;1;26,550 ;14,250 ;88;61;1
149;h;43;12;1;27,600 ;15,000 ;87;75;0
150;h;51;12;1;25,800 ;15,000 ;87;143;0
151;h;51;16;3;42,300 ;26,250 ;87;126;0
152;h;76;8;2;30,750 ;15,000 ;87;451;0
153;m;38;12;1;26,700 ;12,900 ;87;18;0
154;m;65;12;1;20,850 ;12,000 ;87;163;0
155;h;42;15;1;35,250 ;15,000 ;87;54;1
156;h;42;15;1;26,700 ;15,000 ;87;56;1
157;m;38;12;1;26,550 ;13,050 ;87;11;1
158;m;41;12;1;27,750 ;12,000 ;87;11;1
159;m;54;16;1;25,050 ;12,750 ;87;123;1
160;h;54;16;3;66,000 ;47,490 ;86;150;0
161;h;42;16;1;52,650 ;19,500 ;86;20;0
162;h;44;16;3;45,625 ;23,250 ;86;60;0
163;h;40;15;1;30,900 ;15,000 ;86;25;0
164;m;40;15;1;29,400 ;16,500 ;86;24;0
165;m;39;15;1;33,300 ;13,500 ;86;24;0
166;m;63;12;1;21,900 ;9,750 ;86;156;0
167;m;73;12;1;18,150 ;9,750 ;86;72;0
168;m;43;16;3;46,875 ;17,250 ;86;19;0
169;h;40;12;1;25,500 ;14,400 ;86;37;1
170;h;41;12;1;26,550 ;15,000 ;86;38;1
171;h;75;12;1;26,700 ;13,500 ;86;367;1
172;m;52;15;1;29,850 ;15,000 ;86;79;1
173;h;55;20;3;69,250 ;42,480 ;85;134;0
174;h;70;8;2;31,950 ;15,000 ;85;438;0
175;h;67;8;1;26,250 ;15,600 ;85;171;0
176;m;43;16;1;35,700 ;17,250 ;85;19;0
177;m;43;12;1;28,500 ;16,500 ;85;69;0
178;m;67;12;1;17,100 ;10,200 ;85;72;0
179;h;40;12;1;25,200 ;13,050 ;85;29;1
180;m;45;12;1;24,000 ;12,750 ;85;59;1
181;m;66;12;1;27,450 ;10,200 ;85;101;1
182;m;62;12;1;18,450 ;10,200 ;85;228;1
183;h;45;15;1;39,300 ;15,750 ;84;72;0
184;h;41;15;1;38,850 ;15,000 ;84;53;0
185;h;75;8;2;30,750 ;15,000 ;84;380;0
186;h;41;15;1;37,500 ;20,400 ;84;33;0
187;h;42;16;3;58,750 ;21,750 ;84;13;0
188;m;71;12;1;34,500 ;18,750 ;84;208;0
189;m;55;12;1;36,000 ;19,980 ;84;240;0
190;m;73;8;1;29,100 ;16,500 ;84;35;0
191;m;74;12;1;16,500 ;10,200 ;84;288;0
192;h;56;12;1;19,650 ;12,750 ;84;180;1
193;m;39;12;1;24,750 ;12,000 ;84;41;1
194;m;67;15;1;27,150 ;15,750 ;84;231;1
195;m;50;12;1;26,400 ;12,750 ;84;36;1
196;m;59;16;1;23,100 ;12,000 ;84;214;1
197;h;43;15;3;54,900 ;25,500 ;83;49;0
198;h;53;19;3;70,875 ;43,500 ;83;156;0
199;h;47;16;3;51,250 ;27,480 ;83;69;0
200;h;42;17;3;67,500 ;34,980 ;83;9;0
201;h;50;12;1;29,340 ;19,500 ;83;150;0
202;h;42;15;1;39,600 ;16,500 ;83;47;0
203;h;41;12;1;29,100 ;15,000 ;83;50;0
204;h;45;15;1;33,150 ;16,500 ;83;69;0
205;h;61;16;3;66,750 ;52,500 ;83;258;0
206;h;62;12;2;33,750 ;15,000 ;83;284;0
207;h;46;15;1;27,300 ;17,250 ;83;91;0
208;m;37;12;1;24,000 ;11,250 ;83;16;0
209;m;71;8;1;19,800 ;10,200 ;83;75;0
210;h;56;15;1;30,600 ;16,500 ;83;216;1
211;h;55;15;1;28,950 ;15,000 ;83;108;1
212;h;40;15;1;38,400 ;16,500 ;83;64;1
213;h;60;8;2;30,750 ;15,000 ;83;302;1
214;m;37;12;1;20,400 ;10,950 ;83;9;1
215;m;37;12;1;19,200 ;11,100 ;83;7;1
216;h;41;15;1;30,150 ;15,750 ;82;72;0
217;h;56;16;1;34,620 ;27,750 ;82;149;0
218;h;41;15;1;80,000 ;15,750 ;82;34;0
219;h;42;12;1;25,350 ;15,000 ;82;32;0
220;h;42;12;1;29,850 ;15,750 ;82;85;0
221;m;58;12;1;24,000 ;13,800 ;82;97;0
222;m;70;15;1;27,750 ;19,500 ;82;265;0
223;m;63;8;1;22,350 ;10,200 ;82;48;0
224;m;71;12;1;16,200 ;10,200 ;82;0;0
225;m;38;15;1;21,900 ;12,750 ;82;0;0
226;m;41;16;1;23,250 ;15,750 ;82;4;0
227;m;40;12;1;33,900 ;12,000 ;82;11;0
228;m;42;15;1;25,650 ;14,250 ;82;51;0
229;m;65;12;1;17,250 ;10,200 ;82;358;0
230;h;71;15;1;22,500 ;15,000 ;82;371;1
231;h;40;16;3;40,200 ;21,000 ;81;3;0
232;h;42;19;3;55,500 ;33,750 ;81;62;0
233;h;42;15;1;26,550 ;15,000 ;81;52;0
234;h;45;15;1;50,550 ;19,500 ;81;44;0
235;h;43;19;3;75,000 ;31,500 ;81;13;0
236;m;36;8;1;27,450 ;12,000 ;81;9;0
237;m;36;12;1;22,650 ;11,250 ;81;0;0
238;m;36;12;1;27,300 ;11,250 ;81;5;0
239;m;36;12;1;27,750 ;11,225 ;81;5;0
240;m;44;16;3;54,375 ;18,750 ;81;81;0
241;m;69;8;1;17,400 ;10,200 ;81;390;0
242;m;38;12;1;40,800 ;18,000 ;81;4;0
243;m;36;12;1;23,100 ;10,950 ;81;0;0
244;m;36;8;1;22,500 ;10,950 ;81;5;0
245;m;36;12;1;26,700 ;11,550 ;81;18;0
246;m;37;12;1;24,900 ;11,250 ;81;0;0
247;m;37;12;1;19,650 ;10,950 ;81;11;0
248;m;36;12;1;22,050 ;10,950 ;81;9;0
249;m;36;12;1;25,500 ;12,000 ;81;11;0
250;m;39;15;1;28,200 ;12,750 ;81;19;0
251;m;36;12;1;23,100 ;11,250 ;81;13;0
252;h;36;12;1;25,500 ;11,400 ;81;9;1
253;m;63;8;1;17,100 ;10,200 ;81;0;1
254;h;41;18;3;68,125 ;32,490 ;80;29;0
255;h;73;12;2;30,600 ;15,750 ;80;460;0
256;h;57;19;3;52,125 ;27,480 ;80;221;0
257;h;54;19;3;61,875 ;36,750 ;80;199;0
258;h;36;8;1;21,300 ;11,550 ;80;24;0
259;m;36;12;1;19,650 ;11,250 ;80;5;0
260;m;36;12;1;22,350 ;11,250 ;80;5;0
261;m;36;12;1;23,400 ;11,250 ;80;18;0
262;m;37;12;1;24,300 ;10,950 ;80;8;0
263;m;37;12;1;28,500 ;11,250 ;80;4;0
264;m;36;12;1;19,950 ;11,250 ;80;8;0
265;m;36;12;1;23,400 ;11,250 ;80;0;0
266;m;42;16;1;34,500 ;17,250 ;80;3;0
267;m;36;12;1;18,150 ;10,950 ;80;0;0
268;h;69;12;1;22,350 ;15,000 ;80;272;1
269;h;39;15;1;40,200 ;17,250 ;79;38;0
270;h;58;15;1;28,650 ;18,000 ;79;261;0
271;h;42;15;1;27,750 ;16,500 ;79;55;0
272;h;41;18;1;66,875 ;31,980 ;79;30;0
273;h;66;12;2;30,000 ;15,750 ;79;308;0
274;h;41;16;3;83,750 ;21,750 ;79;12;0
275;h;42;12;1;33,900 ;16,500 ;79;94;0
276;h;40;16;3;56,500 ;21,000 ;79;12;0
277;m;40;16;3;43,000 ;17,490 ;79;20;0
278;m;62;8;1;20,850 ;12,000 ;79;70;0
279;m;36;12;1;24,450 ;12,000 ;79;8;0
280;m;36;12;1;24,750 ;10,950 ;79;5;0
281;h;60;8;2;34,500 ;15,750 ;79;246;1
282;h;42;14;1;27,900 ;15,000 ;79;47;1
283;h;42;19;3;68,125 ;32,010 ;78;35;0
284;h;44;19;3;73,500 ;33,000 ;78;45;0
285;h;75;8;2;30,750 ;15,750 ;78;429;0
286;h;47;15;3;40,050 ;25,500 ;78;133;0
287;h;40;16;1;40,350 ;19,500 ;78;20;0
288;h;50;15;3;38,700 ;23,730 ;78;176;0
289;h;41;17;3;65,000 ;30,750 ;78;26;0
290;h;51;18;3;51,450 ;36,240 ;78;149;0
291;h;71;12;2;35,250 ;15,750 ;78;387;0
292;h;42;14;1;25,950 ;15,000 ;78;53;0
293;h;40;15;1;25,050 ;14,250 ;78;24;0
294;h;37;12;1;26,700 ;12,750 ;78;25;0
295;h;73;8;1;24,000 ;15,750 ;78;476;0
296;h;41;12;1;26,850 ;15,000 ;78;48;0
297;m;63;12;1;23,400 ;15,300 ;78;209;0
298;m;39;12;1;24,600 ;13,500 ;78;47;0
299;m;40;15;1;32,550 ;18,000 ;78;6;0
300;h;45;16;1;26,550 ;15,000 ;78;105;1
301;h;37;12;1;31,500 ;13,500 ;78;7;1
302;h;66;8;1;22,350 ;15,000 ;78;320;1
303;h;67;12;2;35,250 ;15,750 ;78;281;1
304;m;60;15;1;25,800 ;13,500 ;78;51;1
305;h;64;12;2;30,750 ;15,750 ;77;317;0
306;h;39;15;1;30,750 ;16,500 ;77;41;0
307;h;60;16;3;50,000 ;32,490 ;77;264;0
308;h;42;15;1;34,500 ;18,000 ;77;63;0
309;h;41;15;1;26,250 ;15,750 ;77;38;0
310;h;41;16;1;44,875 ;21,240 ;77;22;0
311;m;54;12;1;22,500 ;12,000 ;77;63;0
312;m;42;12;1;25,650 ;14,250 ;77;64;0
313;m;36;12;1;21,300 ;11,250 ;77;0;0
314;m;39;12;1;29,850 ;13,500 ;77;38;0
315;m;36;12;1;34,500 ;12,150 ;77;4;0
316;h;45;15;1;27,750 ;15,000 ;77;52;1
317;h;36;12;1;27,750 ;11,550 ;77;12;1
318;h;44;16;3;48,750 ;21,990 ;76;61;0
319;h;39;15;1;43,410 ;15,750 ;76;12;0
320;h;69;12;1;22,050 ;15,000 ;76;385;0
321;m;52;12;1;22,050 ;12,000 ;76;6;0
322;m;67;12;1;22,500 ;14,250 ;76;90;0
323;m;38;15;1;25,500 ;12,000 ;76;7;0
324;m;39;12;1;29,160 ;15,000 ;76;22;0
325;m;71;8;1;16,800 ;10,200 ;76;76;0
326;h;47;8;2;29,550 ;15,750 ;76;144;1
327;h;40;12;1;26,700 ;15,750 ;76;18;1
328;h;53;18;3;55,000 ;32,490 ;75;125;0
329;h;47;18;3;62,500 ;34,980 ;75;74;0
330;h;46;15;1;27,300 ;17,250 ;75;132;0
331;m;63;12;1;24,450 ;12,000 ;75;144;0
332;m;41;16;1;33,000 ;18,000 ;75;26;0
333;m;40;15;1;37,050 ;18,000 ;75;5;0
334;m;39;12;1;24,450 ;10,950 ;75;32;1
335;h;75;8;2;31,950 ;15,750 ;74;408;0
336;h;41;16;3;47,250 ;21,240 ;74;45;0
337;m;35;12;1;26,100 ;11,550 ;74;2;0
338;m;67;8;1;15,900 ;10,200 ;74;43;0
339;m;63;8;1;23,700 ;10,650 ;74;281;0
340;m;71;8;1;21,750 ;12,450 ;74;318;0
341;h;60;12;3;59,400 ;33,750 ;74;272;1
342;m;57;12;1;24,450 ;14,250 ;74;117;1
343;h;52;16;3;103,500 ;60,000 ;73;150;0
344;h;42;12;1;35,700 ;16,500 ;73;72;0
345;m;36;12;1;22,200 ;16,500 ;73;7;0
346;m;37;15;1;22,950 ;13,950 ;73;22;0
347;m;61;12;1;23,100 ;12,000 ;73;228;0
348;m;43;16;3;56,750 ;30,000 ;73;15;0
349;m;67;17;1;29,100 ;12,750 ;73;375;0
350;m;66;12;1;37,650 ;15,750 ;73;132;0
351;m;39;12;1;27,900 ;13,500 ;73;32;0
352;m;72;8;1;21,150 ;12,000 ;73;159;0
353;h;50;12;2;31,200 ;15,750 ;73;155;1
354;m;59;12;1;20,550 ;11,250 ;73;154;1
355;h;44;15;1;25,950 ;17,250 ;72;83;0
356;h;40;15;1;28,350 ;15,000 ;72;48;0
357;m;73;8;1;17,700 ;10,200 ;72;184;0
358;m;61;15;1;23,550 ;13,500 ;72;49;0
359;m;64;12;1;19,950 ;10,200 ;72;56;0
360;m;37;12;1;29,400 ;15,300 ;72;30;0
361;m;39;12;1;28,800 ;13,950 ;72;18;0
362;m;68;8;1;16,950 ;10,200 ;72;319;0
363;h;51;16;1;35,700 ;18,000 ;72;138;1
364;m;58;12;1;17,400 ;10,200 ;72;116;1
365;m;57;8;1;21,450 ;10,200 ;72;194;1
366;m;44;12;1;24,750 ;12,000 ;72;68;1
367;m;63;12;1;16,950 ;10,200 ;72;271;1
368;m;62;12;1;26,100 ;13,500 ;72;169;1
369;h;38;14;1;28,050 ;15,000 ;71;15;0
370;m;42;16;1;36,600 ;18,000 ;71;12;0
371;m;39;16;3;58,125 ;18,000 ;71;11;0
372;h;70;15;1;21,300 ;15,750 ;70;372;0
373;h;56;12;1;22,500 ;16,500 ;70;216;0
374;h;38;15;1;29,400 ;15,750 ;70;15;0
375;h;39;12;1;27,450 ;14,700 ;70;41;0
376;h;41;15;1;29,850 ;15,750 ;70;48;0
377;h;40;15;1;25,350 ;15,750 ;70;56;0
378;m;75;8;1;15,750 ;10,200 ;70;275;0
379;m;67;8;1;19,650 ;13,050 ;70;102;0
380;m;64;12;1;21,000 ;13,500 ;70;82;0
381;h;59;17;1;27,000 ;18,000 ;70;192;1
382;h;46;12;1;24,000 ;15,750 ;70;120;1
383;h;44;17;3;78,500 ;28,740 ;70;67;1
384;m;50;12;1;20,850 ;13,050 ;70;127;1
385;h;75;12;2;30,000 ;15,750 ;69;348;0
386;h;71;8;2;28,500 ;15,750 ;69;174;0
387;h;40;19;3;65,000 ;31,980 ;69;74;0
388;h;46;14;1;30,150 ;16,500 ;69;110;0
389;h;46;19;3;66,875 ;32,490 ;69;81;0
390;m;37;15;1;24,150 ;13,500 ;69;7;0
391;m;36;12;1;24,450 ;12,450 ;69;12;0
392;m;35;12;1;21,600 ;12,000 ;69;0;0
393;m;36;12;1;27,900 ;12,450 ;69;0;0
394;m;35;8;1;29,100 ;12,450 ;69;17;0
395;m;35;12;1;22,650 ;11,250 ;69;2;0
396;m;35;12;1;20,850 ;11,250 ;69;0;0
397;m;35;12;1;22,950 ;12,300 ;69;5;0
398;m;35;12;1;30,600 ;12,450 ;69;5;0
399;m;35;12;1;20,400 ;11,250 ;69;0;0
400;m;36;12;1;23,850 ;12,750 ;69;20;0
401;m;35;12;1;22,800 ;11,250 ;69;0;0
402;m;35;12;1;20,700 ;11,250 ;69;2;0
403;m;35;12;1;21,300 ;11,250 ;69;3;1
404;m;52;12;1;24,300 ;15,000 ;69;121;1
405;m;61;12;1;19,650 ;13,950 ;69;133;1
406;h;40;17;3;60,000 ;32,490 ;68;17;0
407;h;40;15;1;30,300 ;15,750 ;68;55;0
408;h;41;19;3;61,250 ;33,000 ;68;9;0
409;h;43;19;1;36,000 ;19,500 ;68;21;0
410;m;63;8;1;25,200 ;18,750 ;68;344;0
411;m;74;12;1;16,200 ;10,200 ;68;180;0
412;m;35;12;1;22,800 ;11,250 ;68;2;0
413;m;39;16;3;43,500 ;19,500 ;68;11;0
414;h;44;8;2;30,300 ;15,750 ;68;155;1
415;h;42;15;1;31,950 ;15,750 ;68;70;1
416;h;40;15;1;35,250 ;13,500 ;67;6;0
417;h;38;15;1;37,800 ;15,000 ;67;36;0
418;h;40;15;1;31,200 ;15,750 ;67;46;0
419;h;41;15;1;29,400 ;16,500 ;67;68;0
420;h;48;19;3;70,000 ;35,040 ;67;75;0
421;h;44;15;1;33,900 ;15,750 ;67;96;0
422;h;42;15;1;27,150 ;16,500 ;67;78;0
423;m;69;12;1;22,200 ;13,800 ;67;196;0
424;m;39;15;1;31,350 ;11,100 ;67;47;0
425;m;63;12;1;20,850 ;13,500 ;67;181;0
426;h;53;16;1;33,300 ;17,490 ;67;120;1
427;h;63;8;1;26,250 ;16,050 ;67;97;1
428;h;41;15;1;31,950 ;15,750 ;67;58;1
429;h;59;8;2;30,000 ;15,750 ;67;305;1
430;h;49;19;3;66,250 ;34,980 ;67;99;1
431;h;46;18;3;86,250 ;45,000 ;66;50;0
432;h;41;12;1;30,750 ;15,000 ;66;56;0
433;h;39;12;1;33,540 ;15,750 ;66;47;0
434;h;.;16;1;34,950 ;20,250 ;66;55;0
435;h;41;15;1;40,350 ;16,500 ;66;80;0
436;h;40;12;1;30,270 ;15,750 ;66;80;0
437;h;72;8;1;26,250 ;16,050 ;66;264;0
438;h;41;15;1;32,400 ;15,000 ;66;64;0
439;m;35;12;1;20,400 ;11,250 ;66;0;0
440;m;58;8;1;24,150 ;12,750 ;66;96;0
441;m;56;15;1;23,850 ;13,500 ;66;122;0
442;m;37;12;1;29,700 ;13,500 ;66;26;0
443;m;76;8;1;21,600 ;13,500 ;66;228;0
444;m;44;12;1;24,450 ;15,750 ;66;87;0
445;h;42;15;1;28,050 ;16,500 ;66;84;1
446;h;47;16;3;100,000 ;44,100 ;66;128;1
447;h;44;15;1;49,000 ;20,550 ;66;86;1
448;m;72;12;1;16,350 ;10,200 ;66;163;1
449;h;39;16;3;70,000 ;21,750 ;65;19;0
450;h;51;19;3;55,000 ;34,980 ;65;129;0
451;h;36;15;1;28,500 ;14,250 ;65;20;0
452;h;52;12;1;28,800 ;18,000 ;65;210;0
453;h;75;15;1;24,450 ;15,750 ;65;338;0
454;h;40;19;3;90,625 ;31,250 ;65;18;0
455;h;41;16;3;43,650 ;19,500 ;65;19;0
456;h;46;19;3;75,000 ;42,510 ;65;54;0
457;h;37;15;1;31,650 ;14,250 ;65;10;0
458;h;40;19;3;61,875 ;28,740 ;65;26;0
459;m;34;12;1;21,750 ;11,250 ;65;0;0
460;m;36;12;1;22,500 ;12,750 ;65;24;0
461;m;62;8;1;21,600 ;13,500 ;65;173;0
462;m;42;16;3;34,410 ;19,500 ;65;79;0
463;m;71;15;1;20,700 ;14,250 ;65;241;0
464;h;43;19;3;47,550 ;33,000 ;64;27;0
465;h;43;12;1;33,900 ;16,500 ;64;106;0
466;m;57;12;1;23,400 ;13,500 ;64;198;0
467;m;38;16;1;32,850 ;19,500 ;64;20;0
468;m;40;16;3;55,750 ;19,980 ;64;36;0
469;m;41;15;1;25,200 ;13,950 ;64;57;0
470;h;41;12;1;26,250 ;15,750 ;64;69;1
471;h;39;15;1;26,400 ;15,750 ;64;32;1
472;h;39;15;1;39,150 ;15,750 ;63;46;0
473;m;68;12;1;21,450 ;12,750 ;63;139;0
474;m;37;12;1;29,400 ;14,250 ;63;9;0
